                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1449,                0.88253,                 1.1112,                0.99708,                      1,                  0.995,                0.67553,                  1.221,                0.92886,                 1.0764,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1837,                0.98939,                 1.1045,                0.99732,                      1,                  0.995,                0.64769,                 1.2361,                0.95783,                 1.1216,               0.001307,               0.001307,               0.001307
                     37,                 1.1005,                0.87816,                 1.0667,                0.99726,                      1,                  0.995,                0.65795,                 1.1756,                0.96636,                  1.123,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1033,                0.79489,                 1.0994,                0.99694,                      1,                  0.995,                0.65953,                 1.2146,                 1.0372,                 1.1279,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1445,                0.78234,                 1.0985,                0.99673,                      1,                  0.995,                0.66951,                 1.2382,                 1.0242,                 1.1244,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0054,                0.72561,                 1.0364,                0.99541,                      1,                  0.995,                0.64522,                 1.1917,                  1.447,                  1.102,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1011,                0.77776,                 1.0788,                0.99458,                      1,                  0.995,                0.65708,                 1.2058,                 1.6431,                 1.0867,               0.001208,               0.001208,               0.001208
                     42,                 1.0126,                0.78042,                 1.0496,                0.99473,                      1,                  0.995,                0.64642,                  1.226,                 1.8245,                 1.0905,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0391,                0.74417,                 1.0305,                0.99402,                      1,                  0.995,                0.62166,                 1.2651,                 1.8217,                 1.1387,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0674,                0.71155,                  1.062,                 0.9946,                      1,                  0.995,                0.62942,                 1.2826,                 1.2776,                 1.1517,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1218,                 0.7511,                  1.118,                0.99593,                      1,                  0.995,                0.61928,                 1.2854,                0.97888,                 1.1339,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0234,                0.69819,                 1.0757,                0.99658,                      1,                  0.995,                0.61513,                 1.2405,                0.87432,                 1.1175,               0.001109,               0.001109,               0.001109
                     47,                 1.0857,                0.72623,                 1.0772,                0.99667,                      1,                  0.995,                0.61732,                 1.2636,                0.86955,                 1.1398,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0933,                0.76399,                 1.0722,                0.99655,                      1,                  0.995,                0.61073,                 1.3233,                0.86474,                 1.1395,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1258,                0.74886,                 1.1177,                0.99679,                      1,                  0.995,                 0.6677,                 1.2042,                0.79444,                 1.0962,              0.0010496,              0.0010496,              0.0010496
                     50,                0.96619,                   0.67,                 1.0294,                0.99683,                      1,                  0.995,                0.65664,                 1.1836,                0.76569,                 1.0974,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0074,                0.64646,                 1.0386,                0.99696,                      1,                  0.995,                0.66988,                 1.1994,                0.78887,                 1.1032,                0.00101,                0.00101,                0.00101
                     52,                 1.1144,                0.69051,                 1.0986,                0.99688,                      1,                  0.995,                0.65779,                 1.3124,                 0.8629,                 1.1695,              0.0009902,              0.0009902,              0.0009902
